Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,20/06/2013,173.72,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Mobile Phones,ORANGE PCS LTD,04/06/2013,195,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLCE,Premises-Related Expenditure,General Rents,WREKIN HOUSING TRUST,17/06/2013,1956,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLCE,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST,17/06/2013,1956,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLDD,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),11/06/2013,623.66,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,04/06/2013,261.04,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,04/06/2013,944.19,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,04/06/2013,1149.66,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,04/06/2013,236.96,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Employees,Agency Supply Costs,AMG NURSING & CARE SERVICES,04/06/2013,1563.61,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEB,Supplies & Services,Equipment - Purchase,THE CONSORTIUM FOR PURCHASING & DISTRIBUTION LTD T/A WEST MERCIA SUPPLIES,04/06/2013,387.5,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Capital Financing Costs,Leased Equipment,LEX AUTOLEASE LTD,04/06/2013,500.14,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEC,Capital Financing Costs,Leased Equipment,LEX AUTOLEASE LTD,17/06/2013,500.14,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEE,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,28/06/2013,-101.63,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEE,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,04/06/2013,203.25,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,06/06/2013,178.75,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HLEG,Supplies & Services,Respite Care,REDACTED PERSONAL INFORMATION,21/06/2013,197.49,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Service Contracts,SRCL LTD,20/06/2013,778.68,,,,,,,,
Adult Care & Support,Personalisation Support & Service Provision,HMAA,Supplies & Services,Other Expenses,RENTOKIL INITIAL UK LIMITED,20/06/2013,166.51,,,,,,,,
